Month,Hour,Day Type,solar_generation
7,16,7,0.665415931220987
7,17,7,0.656695540737493
7,18,7,0.577916407305556
7,19,7,0.505251065506065
7,20,7,0.38272558453546884
7,21,7,0.16432900691027183
7,22,7,0.017202654998420656
7,23,7,0.0
7,0,1,0.0
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0
7,7,1,0.0
7,8,1,0.0
7,9,1,0.0
7,10,1,0.0
7,11,1,0.056901171524727324
7,12,1,0.27233141868788274
7,13,1,0.4870730513434334
7,14,1,0.6182224271114557
7,15,1,0.5649634936007917
7,16,1,0.5567576118460053
7,17,1,0.4420262897910476
7,18,1,0.3901441044473062
7,19,1,0.31819743955429663
7,20,1,0.1586758685581135
7,21,1,0.07191921564908214
7,22,1,0.007540350899298319
7,23,1,0.0
7,0,2,0.0
7,1,2,0.0
7,2,2,0.0
7,3,2,0.0
7,4,2,0.0
7,5,2,0.0
7,6,2,0.0
7,7,2,0.0
7,8,2,0.0
7,9,2,0.0
7,10,2,0.0
7,11,2,0.05134155296654449
7,12,2,0.22845039594723718
7,13,2,0.33988971253533506
7,14,2,0.39407954571169007
7,15,2,0.38061590813813934
7,16,2,0.38989214326723187
7,17,2,0.5149632276954296
7,18,2,0.5930270141091353
7,19,2,0.505925402933045
7,20,2,0.3276370122075181
7,21,2,0.13662458231635133
7,22,2,0.012247876714570092
7,23,2,0.0
7,0,3,0.0
7,1,3,0.0
7,2,3,0.0
7,3,3,0.0
7,4,3,0.0
7,5,3,0.0
7,6,3,0.0
7,7,3,0.0
7,8,3,0.0
7,9,3,0.0
7,10,3,0.0
7,11,3,0.03354030154602927
7,12,3,0.1844772388453445
7,13,3,0.37911887975592173
7,14,3,0.5234321837282941
7,15,3,0.6349758443144001
7,16,3,0.6262329564955453
7,17,3,0.6603621295121662
7,18,3,0.651559587318149
7,19,3,0.5579376859559897
7,20,3,0.3587284236436631
7,21,3,0.13203142563988512
7,22,3,0.015227179368525785
7,23,3,0.0
7,0,4,0.0
7,1,4,0.0
7,2,4,0.0
7,3,4,0.0
7,4,4,0.0
7,5,4,0.0
7,6,4,0.0
7,7,4,0.0
7,8,4,0.0
7,9,4,0.0
7,10,4,0.0
7,11,4,0.0421396092236581
7,12,4,0.21143092599335242
7,13,4,0.346579397397233
7,14,4,0.40507031975102353
7,15,4,0.5398097969542945
7,16,4,0.5571239105756628
7,17,4,0.6223841472262032
7,18,4,0.565125269163933
7,19,4,0.36855378782758635
7,20,4,0.20755216967118242
7,21,4,0.07169461045885123
7,22,4,0.01062942693171308
7,23,4,0.0
7,0,5,0.0
7,1,5,0.0
7,2,5,0.0
7,3,5,0.0
7,4,5,0.0
7,5,5,0.0
7,6,5,0.0
7,7,5,0.0
7,8,5,0.0
7,9,5,0.0
7,10,5,0.0
7,11,5,0.04208246011075536
7,12,5,0.20620982354372855
7,13,5,0.402966156613832
7,14,5,0.4726272688571543
7,15,5,0.4955848611740382
7,16,5,0.5786348905888049
7,17,5,0.555280458955547
7,18,5,0.5705997963458944
7,19,5,0.5111081058707633
7,20,5,0.34255580163607235
7,21,5,0.15300814292475856
7,22,5,0.013994382710719467
7,23,5,0.0
7,0,6,0.0
7,1,6,0.0
7,2,6,0.0
7,3,6,0.0
7,4,6,0.0
7,5,6,0.0
7,6,6,0.0
7,7,6,0.0
7,8,6,0.0
7,9,6,0.0
7,10,6,0.0
7,11,6,0.04774559646789931
7,12,6,0.22742917775054228
7,13,6,0.43653443270099895
7,14,6,0.5478614195782501
7,15,6,0.5907254496604349
7,16,6,0.651917023337209
7,17,6,0.665415931220987
7,18,6,0.6627609227260902
7,19,6,0.562437480352226
7,20,6,0.3408405966721036
7,21,6,0.11716312699547796
7,22,6,0.014037841270856498
7,23,6,0.0
7,0,7,0.0
7,1,7,0.0
7,2,7,0.0
7,3,7,0.0
7,4,7,0.0
7,5,7,0.0
7,6,7,0.0
7,7,7,0.0
7,8,7,0.0
7,9,7,0.0
7,10,7,0.0
7,11,7,0.03718159423946794
7,12,7,0.19471301733053578
7,13,7,0.4265016694107733
7,14,7,0.5909953250186487
7,15,7,0.6583733100626534
7,16,7,0.665415931220987
7,17,7,0.6606971471790498
7,18,7,0.6609211268108895
7,19,7,0.5689249522426801
7,20,7,0.36009310011916434
7,21,7,0.1213753493913929
7,22,7,0.018281603755857113
7,23,7,0.0
7,0,1,0.0
7,1,1,0.0
7,2,1,0.0
7,3,1,0.0
7,4,1,0.0
7,5,1,0.0
7,6,1,0.0
7,7,1,0.0
7,8,1,0.0
7,9,1,0.0
7,10,1,0.0
7,11,1,0.04583252122038439
7,12,1,0.24014318996337042
7,13,1,0.49207833669403295
7,14,1,0.6490434024918037
7,15,1,0.665415931220987
7,16,1,0.665415931220987
7,17,1,0.665415931220987
7,18,1,0.6601347518367032
7,19,1,0.5546731614753523
7,20,1,0.34362128971056655
7,21,1,0.11088026744729987
7,22,1,0.014944939690867852
7,23,1,0.0
7,0,2,0.0
7,1,2,0.0
7,2,2,0.0
7,3,2,0.0
7,4,2,0.0
7,5,2,0.0
7,6,2,0.0
7,7,2,0.0
7,8,2,0.0
7,9,2,0.0
7,10,2,0.0
7,11,2,0.05751061140038118
7,12,2,0.2931276630773465
7,13,2,0.47106973430073723
7,14,2,0.6333325994419978
7,15,2,0.665415931220987
7,16,2,0.665415931220987
7,17,2,0.6412391048621022
7,18,2,0.5320868345429675
7,19,2,0.3509774882760174
7,20,2,0.3027703783914614
7,21,2,0.1309307648071156
7,22,2,0.014431734741985062
7,23,2,0.0
7,0,3,0.0
7,1,3,0.0
7,2,3,0.0
7,3,3,0.0
7,4,3,0.0
7,5,3,0.0
7,6,3,0.0
7,7,3,0.0
7,8,3,0.0
